Source,Target,Type,Id,Label,Weight
Quibe de Abóbora,canela-da-china em pó,Undirected,309,,1
Canja de Galinha Nutritiva,alho-poró,Undirected,310,,1
Salada de Macarrão com Atum e Maionese,maionese,Undirected,311,,1
Peixe ao Forno com Legumes,molho de tomate,Undirected,312,,1
Quibe de Abóbora,pimenta-do-reino,Undirected,313,,1
Empadinha de Frango,alho,Undirected,314,,1
Strogonoff de Carne,coxão-mole em tiras,Undirected,315,,1
Filé de Peixe ao Forno,filé de pintado,Undirected,316,,1
Caldo Verde,linguiça portuguesa,Undirected,317,,1
Risoto de Cogumelos (vegetariano),arroz,Undirected,318,,1
Bobó de Frango,mandioca cozida,Undirected,319,,1
Bacalhoada,batata asterix,Undirected,320,,1
Carne Moída Simples,tempero completo,Undirected,321,,1
Cuscuz Marroquino com Legumes,sal,Undirected,322,,1
Salada de Macarrão com Atum e Maionese,macarrão parafuso,Undirected,323,,1
Tofu com Broa,couve coração,Undirected,324,,1
Sanduíche de Rabada,sal,Undirected,325,,1
Frango Xadrez,óleo de gergelim,Undirected,326,,1
Salada de Macarrão com Atum e Maionese,cheiro verde,Undirected,327,,1
Peixe ao Forno com Legumes,batata cozida,Undirected,328,,1
Peixe ao Forno com Legumes,grão de bico,Undirected,329,,1
Bacalhoada,cabeça de alho,Undirected,330,,1
Quindim Fácil,gemas de ovo,Undirected,331,,1
Falsa Bacalhoada,azeitonas pretas,Undirected,332,,1
Moqueca de Peixe,leite de coco,Undirected,333,,1
Salpicão de Frango,salsinha picada,Undirected,334,,1
Bobó de Camarão,azeite de dendê,Undirected,335,,1
Couve-Flor Gratinada,mussarela,Undirected,336,,1
Tofu com Broa,alho francês,Undirected,337,,1
Carne de Panela,coxão mole em bifes,Undirected,338,,1
Quindim Fácil,corante alimentício amarelo,Undirected,339,,1
Bife à Parmegiana,óleo,Undirected,340,,1
Salada Colorida,sal,Undirected,341,,1
Arroz de Couve-Flor,couve-flor,Undirected,342,,1
Croquete de Carne,batata,Undirected,343,,1
Sopa de Cebola,caldo de carne,Undirected,344,,1
Sopa de Capeletti,caldo de galinha,Undirected,345,,1
Bolo de Cenoura com Cobertura de Brigadeiro,leite condensado,Undirected,346,,1
Frango Assado com Laranja,sal,Undirected,347,,1
Sopa de Cebola,creme de leite,Undirected,348,,1
Carne Moída Simples,extrato de tomate,Undirected,349,,1
Lasanha de Frango com Queijo,sal,Undirected,350,,1
Coxinha de Frango com Catupiri,sal,Undirected,351,,1
Frango Xadrez,cebolinha verde,Undirected,352,,1
Lasanha de Berinjela,molho de tomate,Undirected,353,,1
Bife à Parmegiana,carne para bife,Undirected,354,,1
Moqueca de Peixe com Pirão,peixe (corvina),Undirected,355,,1
Moqueca de Peixe com Pirão,camarão seco,Undirected,356,,1
Lasanha de Frango com Queijo,mussarela ralada,Undirected,357,,1
Coxinha de Frango com Catupiri,clara de ovo,Undirected,358,,1
Salada de Maionese Simples,maionese,Undirected,359,,1
Lombo Assado,azeite extra virgem,Undirected,360,,1
Filé de Peixe ao Forno,alho,Undirected,361,,1
Salpicão de Frango,cebola picadinha,Undirected,362,,1
Torta de Frango Gratinada,alho,Undirected,363,,1
Sopa de Mandioquinha com Carne Seca,pimenta de cheiro,Undirected,364,,1
Cuscuz Marroquino com Legumes,abobrinha,Undirected,365,,1
Carne de Panela,pimentão picado,Undirected,366,,1
Strogonoff de Carne,champignon em conserva,Undirected,367,,1
Quindim Fácil,leite de coco,Undirected,368,,1
Frango Xadrez,sal,Undirected,369,,1
Frango Assado com Batatas (simples),tempero para aves,Undirected,370,,1
Lasanha de Frango com Queijo,presunto,Undirected,371,,1
Farofa de Banana-da-Terra,sal,Undirected,372,,1
Coxinha de Frango com Catupiri,catupiri,Undirected,373,,1
Risoto de Cogumelos (vegetariano),cogumelos fatiados,Undirected,374,,1
Moqueca de Banana-da-Terra,casca de limão,Undirected,375,,1
Salpicão de Frango,uva passa,Undirected,376,,1
Esfiha Aberta Tipo Habib's,sal,Undirected,377,,1
Torta de Limão Clássica com Merengue,farinha de trigo,Undirected,378,,1
Salada Caesar,alho,Undirected,379,,1
Moqueca de Peixe,pimentão verde em rodelas,Undirected,380,,1
Salpicão de Frango,maçã picada,Undirected,381,,1
Canja de Galinha Nutritiva,quinoa mista,Undirected,382,,1
Peixe à Delícia,filé de pargo,Undirected,383,,1
Bife à Parmegiana,orégano,Undirected,384,,1
Ratatouille no Forno,cebola roxa,Undirected,385,,1
Frango à Passarinho de Forno,páprica doce,Undirected,386,,1
Esfiha Aberta Tipo Habib's,carne moída,Undirected,387,,1
Salada de Macarrão com Atum e Maionese,muçarela,Undirected,388,,1
