Source,Target,Type,Id,Label,Weight
Ratatouille no Forno,pimenta preta,Undirected,708,,1
cebola roxa,Salada de Grão de Bico e Atum,Undirected,709,,1
Couve-Flor Gratinada,mussarela,Undirected,710,,1
Couve-Flor Gratinada,tomate picadinho,Undirected,711,,1
Mousse de Chocolate Vegano,abacate,Undirected,712,,1
Mousse de Chocolate Vegano,cacau em pó,Undirected,713,,1
Mousse de Chocolate Vegano,canela em pó,Undirected,714,,1
Mousse de Chocolate Vegano,melado de cana,Undirected,715,,1
Mousse de Chocolate Vegano,essência de baunilha,Undirected,716,,1
abacate,Salada de Grão de Bico e Atum,Undirected,717,,1
canela em pó,Cuscuz Marroquino com Legumes,Undirected,718,,1
canela em pó,Bolinho de Chuva,Undirected,719,,1
Salada de Grão de Bico e Atum,grão de bico cozido,Undirected,720,,1
Salada de Grão de Bico e Atum,tomate cereja,Undirected,721,,1
Salada de Grão de Bico e Atum,atum em água,Undirected,722,,1
Salada de Macarrão com Atum e Maionese,macarrão parafuso,Undirected,723,,1
Salada de Macarrão com Atum e Maionese,atum ralado,Undirected,724,,1
Salada de Macarrão com Atum e Maionese,muçarela,Undirected,725,,1
Salada de Macarrão com Atum e Maionese,pimenta do reino,Undirected,726,,1
Salada de Macarrão com Atum e Maionese,cheiro verde,Undirected,727,,1
pimenta do reino,Salada de Maionese Simples,Undirected,728,,1
pimenta do reino,Sopa de Cebola,Undirected,729,,1
pimenta do reino,Coxinha Simples,Undirected,730,,1
cheiro verde,Coxinha Simples,Undirected,731,,1
Salada de Maionese Simples,cenouras,Undirected,732,,1
Salada de Maionese Simples,aji-no-moto,Undirected,733,,1
Salada de Maionese Simples,páprica,Undirected,734,,1
Salada Caesar,pão amanhecido,Undirected,735,,1
Salada Caesar,alface-romana,Undirected,736,,1
Salada Caesar,maionese caseira,Undirected,737,,1
Salada Caesar,filé de anchova,Undirected,738,,1
Salada Colorida,alface americana,Undirected,739,,1
Salada Colorida,pepino japonês,Undirected,740,,1
Salada Colorida,beterraba,Undirected,741,,1
Salada Colorida,tomate sweet grape,Undirected,742,,1
Salada Colorida,ovos de codorna,Undirected,743,,1
Cuscuz Marroquino com Legumes,salsão,Undirected,744,,1
Cuscuz Marroquino com Legumes,gengibre em pó,Undirected,745,,1
Cuscuz Marroquino com Legumes,pimenta chilli,Undirected,746,,1
Cuscuz Marroquino com Legumes,cuscuz marroquino,Undirected,747,,1
Cuscuz Marroquino com Legumes,abóbora japonesa,Undirected,748,,1
Cuscuz Marroquino com Legumes,abobrinha,Undirected,749,,1
Cuscuz Marroquino com Legumes,vagem holandesa,Undirected,750,,1
Cuscuz Marroquino com Legumes,grão-de-bico cozido,Undirected,751,,1
salsão,Sopa de Capeletti,Undirected,752,,1
gengibre em pó,Sopa de Abóbora com Gengibre,Undirected,753,,1
Caldo Verde,linguiça portuguesa,Undirected,754,,1
Caldo Verde,água quente,Undirected,755,,1
Caldo Verde,caldo de bacon,Undirected,756,,1
Caldo Verde,couve-manteiga,Undirected,757,,1
Caldo Verde,cebolinha-verde,Undirected,758,,1
Sopa de Mandioquinha com Carne Seca,mandioquinha,Undirected,759,,1
Sopa de Mandioquinha com Carne Seca,carne seca desfiada,Undirected,760,,1
Sopa de Mandioquinha com Carne Seca,pimenta de cheiro,Undirected,761,,1
Canja de Galinha Nutritiva,alho-poró,Undirected,762,,1
Canja de Galinha Nutritiva,abobrinha ralada,Undirected,763,,1
Canja de Galinha Nutritiva,batata picada,Undirected,764,,1
Canja de Galinha Nutritiva,quinoa mista,Undirected,765,,1
